SourceID,CarID,rating
1,121,4
1,289,4
1,133,4
1,289,5
1,32,5
1,32,3
1,192,5
1,166,4
1,129,5
1,129,5
1,80,5
1,268,5
1,82,3
1,76,5
1,267,4
1,160,5
1,107,3
2,319,3
2,81,5
2,81,4
2,32,4
2,249,5
2,64,4
2,257,3
2,192,4
2,248,5
2,205,4
2,166,3
2,249,5
2,197,4
2,293,4
2,192,5
2,295,4
2,257,4
2,257,4
2,129,5
2,147,5
2,82,3
2,178,5
2,11,3
2,104,4
2,74,3
2,19,3
2,76,4
2,139,5
2,160,5
2,117,5
2,303,4
2,121,5
2,321,3
2,241,5
2,330,5
2,43,5
2,324,5
2,324,3
2,325,5
2,326,5
3,319,4
3,319,5
3,303,4
3,223,5
3,303,5
3,166,5
3,249,4
3,32,5
3,192,5
3,293,4
3,293,5
3,32,5
3,32,5
3,81,5
3,205,5
3,298,4
3,319,5
3,319,5
3,103,4
3,293,2
3,240,5
3,303,5
3,257,5
3,81,5
3,81,5
3,81,5
3,32,3
3,249,4
3,129,5
3,32,5
3,248,5
3,166,5
3,249,5
3,129,5
3,197,4
3,293,3
3,295,3
3,192,3
3,205,3
3,221,4
3,295,4
3,129,5
3,147,4
3,3,5
3,80,3
3,65,5
3,82,5
3,221,4
3,74,5
3,7,3
3,307,3
3,221,5
3,92,4
3,198,4
3,122,5
3,164,4
3,1,4
3,48,5
3,160,5
3,68,4
3,121,4
3,223,5
3,79,4
3,121,5
3,330,4
3,264,5
3,316,4
3,324,5
3,326,4
3,327,5
3,328,5
4,319,5
4,32,3
4,229,5
4,293,4
4,208,4
4,223,4
4,166,5
4,189,5
4,249,5
4,129,5
4,166,5
4,197,4
4,248,5
4,129,4
4,84,4
4,69,2
4,295,4
4,268,4
4,3,5
4,80,5
4,80,2
4,80,5
4,228,4
4,231,5
4,192,2
4,231,5
4,295,4
4,20,3
4,7,5
4,285,4
4,84,5
4,92,5
4,268,4
4,139,4
4,198,5
4,75,3
4,96,5
4,208,5
4,283,5
4,283,5
4,267,5
4,12,4
4,151,2
4,4,4
4,100,4
4,189,5
4,84,4
4,308,4
4,165,5
4,267,3
4,160,5
4,100,5
4,155,5
4,84,5
4,100,4
4,84,4
4,129,5
4,47,5
4,329,5
4,12,4
4,121,5
4,79,5
4,108,5
4,43,5
4,106,5
5,129,4
5,293,5
5,103,5
5,121,5
5,197,4
5,166,5
5,295,5
5,192,5
5,129,5
5,3,4
5,171,5
5,38,4
5,121,1
5,121,3
6,129,3
6,121,5
6,32,5
6,293,5
6,293,4
6,49,4
6,129,5
6,32,5
6,248,5
6,249,4
6,148,4
6,103,4
6,169,5
6,179,4
6,197,4
6,293,5
6,129,5
6,295,5
6,129,5
6,221,4
6,76,4
6,116,5
6,7,4
6,55,4
6,160,5
6,47,3
6,121,4
6,330,4.5
6,306,4
6,150,4
6,306,3.5
7,166,4
7,166,4
7,147,4.5
7,129,5
7,82,4.5
7,279,3
7,306,4
7,333,3
7,150,4
8,121,4.5
8,166,5
8,192,4
8,166,5
8,257,3.5
8,32,2.5
8,248,3.5
8,147,5
8,166,3
8,237,4
8,222,2
8,293,3.5
8,80,5
8,20,5
8,122,0.5
8,74,0.5
8,224,0.5
8,171,0.5
8,208,0.5
8,175,5
8,160,0.5
8,16,0.5
8,121,0.5
8,121,0.5
8,330,0.5
8,106,3.5
8,135,0.5
9,319,3
9,129,4.5
9,129,0.5
9,47,0.5
9,248,0.5
9,60,2
9,27,4
9,129,0.5
9,20,5
9,233,4.5
10,319,0.5
10,303,5
10,129,0.5
10,32,5
10,129,0.5
10,166,5
10,197,5
10,60,4.5
10,204,5
10,2,0.5
10,8,5
10,46,4.5
10,205,5
10,257,4.5
10,253,5
10,231,0.5
10,65,3
10,62,2
10,11,3
10,7,2
10,307,3
10,72,3
10,47,4
10,49,5
10,38,1
10,275,5
10,37,3
10,275,5
10,13,2
10,40,5
10,238,1
10,24,5
10,92,2
10,302,3
10,121,5
10,302,5
10,306,1
10,106,5
10,333,5
10,179,4
11,121,4
11,223,3
11,129,3
11,192,4
11,249,2
11,223,1
11,164,2
11,192,5
11,166,5
11,166,5
11,248,1
11,49,5
11,249,1
11,166,2
11,197,4
11,295,5
11,197,3
11,248,2
11,69,5
11,,3
11,223,4
11,60,3
11,81,4
11,21,4
11,154,5
11,154,4
11,148,4
11,223,4
11,144,5
11,133,5
11,84,5
11,221,5
11,295,5
11,129,5
11,80,5
11,228,3
11,192,4
11,241,5
11,129,3
11,84,2
11,254,4
11,82,5
11,11,2
11,86,5
11,171,5
11,268,5
11,92,3
11,96,5
11,38,5
11,12,4
11,4,1
11,267,5
11,151,5
11,39,5
11,267,3
11,24,2
11,92,5
11,117,1
11,108,4
11,220,4
11,241,4
11,264,5
11,264,4
11,302,4
11,306,4
12,121,2
12,121,5
12,3,5
12,121,4
12,121,4
12,223,3
12,16,1
12,223,5
12,137,4
12,297,4
12,205,4
12,166,3
12,19,1
12,297,2
12,293,4
12,32,1
12,164,4
12,49,4
12,249,5
12,199,3
12,248,5
12,231,2
12,248,4
12,32,3
12,129,2
12,166,4
12,166,3
12,147,4
12,197,1
12,197,3
12,221,5
12,69,2
12,69,5
12,248,4
12,21,2
12,248,4
12,199,5
12,3,4
12,80,3
12,109,5
12,210,5
12,223,5
12,159,4
12,48,5
12,228,1
12,179,1
12,154,2
12,2,4
12,8,4
12,179,5
12,83,3
12,83,4
12,236,4
12,231,1
12,282,5
12,271,5
12,60,1
12,236,4
12,109,5
12,80,2
12,3,4
12,78,1
12,20,2
12,231,5
12,223,5
12,82,5
12,56,4
12,11,4
12,223,5
12,282,2
12,19,2
12,171,4
12,268,4
12,92,5
12,208,4
12,47,3
12,198,5
12,264,4
12,8,1
12,208,4
12,208,4
12,96,4
12,111,4
12,109,3
12,37,5
12,79,4
12,175,4
12,13,2
12,4,1
12,160,5
12,149,2
12,160,1
12,111,3
12,285,3
12,57,5
12,94,4
12,206,3
12,179,4
12,121,4
12,302,3
12,255,1
13,303,3
13,205,4
13,290,3
13,199,3
13,249,4
13,293,5
13,32,3
13,166,4
13,197,3
13,248,3
13,147,2
13,199,5
13,1,4
13,283,3
13,308,2
14,121,4
14,220,1
14,223,4
14,164,3
14,164,1
14,166,3
14,49,5
14,164,3
14,166,4
14,166,4
14,166,5
14,49,4
14,32,4
14,164,4
14,166,4
14,241,3
14,69,4
14,197,5
14,197,4
14,241,3
14,241,3
14,164,4
14,248,5
14,223,3
14,80,4
14,129,3
